This is a test file.
ang	sin(ang)	cos(ang)
----	--------	--------
0	0.000000	1.000000
2	0.034899	0.999391
4	0.069756	0.997564
6	0.104528	0.994522
8	0.139173	0.990268
10	0.173648	0.984808
12	0.207912	0.978148
14	0.241922	0.970296
16	0.275637	0.961262
18	0.309017	0.951057
20	0.342020	0.939693
22	0.374607	0.927184
24	0.406737	0.913545
26	0.438371	0.898794
28	0.469472	0.882948
30	0.500000	0.866025
32	0.529919	0.848048
34	0.559193	0.829038
36	0.587785	0.809017
38	0.615661	0.788011
40	0.642788	0.766044
42	0.669131	0.743145
44	0.694658	0.719340
46	0.719340	0.694658
48	0.743145	0.669131
50	0.766044	0.642788
52	0.788011	0.615661
54	0.809017	0.587785
56	0.829038	0.559193
58	0.848048	0.529919
60	0.866025	0.500000
62	0.882948	0.469472
64	0.898794	0.438371
66	0.913545	0.406737
68	0.927184	0.374607
70	0.939693	0.342020
72	0.951057	0.309017
74	0.961262	0.275637
76	0.970296	0.241922
78	0.978148	0.207912
80	0.984808	0.173648
82	0.990268	0.139173
84	0.994522	0.104528
86	0.997564	0.069756
88	0.999391	0.034899
90	1.000000	0.000000
